ensembl	hgnc
229	ENSG00000008853	18756
230	ENSG00000008869	29273
231	ENSG00000008952	11846
232	ENSG00000008988	10405
233	ENSG00000009307	29905
234	ENSG00000009335	16803
235	ENSG00000009413	9968
236	ENSG00000009694	8117
237	ENSG00000009709	8621
238	ENSG00000009724	6902
239	ENSG00000009765	21071
240	ENSG00000009780	28530
241	ENSG00000009790	30766
242	ENSG00000009830	19743
243	ENSG00000009844	20954
244	ENSG00000009950	12744
245	ENSG00000009954	961
246	ENSG00000010017	13727
247	ENSG00000010030	18160
248	ENSG00000010072	25356
249	ENSG00000010165	24248
250	ENSG00000010219	3095
251	ENSG00000010244	12998
252	ENSG00000010256	12585
253	ENSG00000010270	19169
254	ENSG00000010278	1709
255	ENSG00000010282	13242
256	ENSG00000010292	24305
257	ENSG00000010295	24970
258	ENSG00000010310	4271
259	ENSG00000010318	18458
260	ENSG00000010319	30400
261	ENSG00000010322	18006
262	ENSG00000010327	18628
263	ENSG00000010361	26219
264	ENSG00000010379	11046
265	ENSG00000010404	5389
266	ENSG00000010438	9486
267	ENSG00000010539	12993
268	ENSG00000010610	1678
269	ENSG00000010626	19138
270	ENSG00000010671	1133
271	ENSG00000010704	4886
272	ENSG00000010803	19003
273	ENSG00000010810	4037
274	ENSG00000010818	4921
275	ENSG00000010932	3769
276	ENSG00000011007	11620
277	ENSG00000011009	6738
278	ENSG00000011021	2024
279	ENSG00000011028	16875
280	ENSG00000011052	33531
281	ENSG00000011083	11054
282	ENSG00000011105	21640
283	ENSG00000011114	18269
284	ENSG00000011132	580
285	ENSG00000011143	7121
286	ENSG00000011198	21396
287	ENSG00000011201	6211
288	ENSG00000011243	29857
289	ENSG00000011258	19866
290	ENSG00000011260	24274
291	ENSG00000011275	21698
292	ENSG00000011295	26006
293	ENSG00000011304	9583
294	ENSG00000011332	20225
295	ENSG00000011347	11514
296	ENSG00000011376	17095
297	ENSG00000011405	8971
298	ENSG00000011422	9053
299	ENSG00000011426	14082
300	ENSG00000011451	30917
301	ENSG00000011454	17155
302	ENSG00000011465	2705
303	ENSG00000011478	25952
304	ENSG00000011485	9322
305	ENSG00000011523	29076
306	ENSG00000011566	6865
307	ENSG00000011590	16763
308	ENSG00000011600	12449
309	ENSG00000011638	30136
310	ENSG00000011677	4077
311	ENSG00000012048	1100
312	ENSG00000012061	3433
313	ENSG00000012124	1643
314	ENSG00000012171	10724
315	ENSG00000012174	15455
316	ENSG00000012211	6645
317	ENSG00000012223	6720
318	ENSG00000012232	3518
319	ENSG00000012504	7967
320	ENSG00000012660	21308
321	ENSG00000012779	435
322	ENSG00000012817	11115
323	ENSG00000012822	29306
324	ENSG00000012963	20344
325	ENSG00000012983	6867
326	ENSG00000013016	3244
327	ENSG00000013275	9551
328	ENSG00000013288	29623
329	ENSG00000013293	29326
330	ENSG00000013297	8514
331	ENSG00000013306	24279
332	ENSG00000013364	7531
333	ENSG00000013374	17623
334	ENSG00000013375	8907
